row_id,Species3,Family3,Order3,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
5281,Melaenornis ardesiacus,Muscicapidae,Passeriformes,1,0,1,0,1,17.3,10.2,4.3,5.1,22.2,85,10.9,74.1,12.8,79,29,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,-5.22,0.78,-2.37,29.26144179,60515.81,Extant
5311,Muscicapa lendu,Muscicapidae,Passeriformes,2,0,2,0,2,12.9,7.2,3.7,3.9,16.6,77.2,14.4,62.8,18.6,63,17.68,EltonTraits_Model,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-4.6,2.68,-1.44,29.1677282,37404.93,Extant
5314,Muscicapa randi,Muscicapidae,Passeriformes,1,1,0,0,1,13.3,7.4,4.2,3.6,12.5,65.5,14,51.5,21.4,52,20.12,EltonTraits_Model,NA,NO,NA,NA,Forest,1,2,Carnivore,Invertivore,Insessorial,9.11,18.65,15.95,121.416389,105159.86,Extant
5316,Muscicapa segregata,Muscicapidae,Passeriformes,2,1,0,1,2,13.6,8.8,4.6,3.8,13.8,65,12.8,52.1,19.8,51.2,9.8,Inferred,NA,YES,Body Mass,Muscicapa dauurica,Forest,1,1,Carnivore,Invertivore,Insessorial,-10.32,-9.28,-9.76,119.953604,10704.53,Extant
5380,Rhinomyias additus,Muscicapidae,Passeriformes,1,1,0,0,1,13.7,7.9,4.7,3.9,18.8,79,16,63,20.3,64,22.49,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,-3.79,-3.13,-3.44,126.5112872,4091.97,Extant
5383,Rhinomyias colonus,Muscicapidae,Passeriformes,2,1,1,0,2,15.4,10,4.3,4.2,18.4,73,14.4,58.6,19.6,65.5,23.14,EltonTraits_Model,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-2.49,-0.9,-1.58,123.3110163,13551.2,Extant
5386,Rhinomyias insignis,Muscicapidae,Passeriformes,2,2,0,0,1,18.2,10.3,4,4.8,31.3,80.8,10.9,69.6,13.5,67.5,28.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,15.83,18.46,16.94,121.0731787,9756.91,Extant
5388,Rhinomyias oscillans,Muscicapidae,Passeriformes,1,0,1,0,1,14.1,9,4.9,3.8,16.1,76,10.8,65.2,14.2,56,23.93,EltonTraits_Model,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-10.16,-8.12,-8.85,119.620012,16636.37,Extant
5409,Sheppardia gabela,Muscicapidae,Passeriformes,1,0,1,0,1,12.6,7.1,4,3.3,20.9,65.5,10.5,55,16,52,11,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-11.42,-10.85,-11.13,14.32737014,958.02,Extant
5489,Nectarinia congensis,Nectariniidae,Passeriformes,1,0,1,0,1,22.4,16,3.3,3.2,16.8,62,11,51,17.7,127,17.3,Updated_literature,BoW,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,-3.2,2.79,0.95,20.5372651,130504.85,Extant
5531,Nectarinia rockefelleri,Nectariniidae,Passeriformes,1,0,1,0,0,21.2,16.2,2.3,2.8,16.2,58,7.4,50.6,12.8,44,5.3,Dunning,NA,YES,Beak Culmen; Beak Nares,Nectarinia rubescens,Forest,2,1,Omnivore,Omnivore,Insessorial,-4.11,-1.38,-2.93,28.7935704,7907.78,Extant
5585,Melampitta gigantea,Orthonychidae,Passeriformes,2,2,0,0,2,36.6,22.2,8.3,12.9,52.8,129,19.5,109.5,15,113.5,205,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,-10.3,-1.29,-6.59,142.8254556,8372.65,Extant
5697,Parus holsti,Paridae,Passeriformes,2,1,1,0,2,11.6,8.2,4.3,4.6,18.4,74.5,12.9,61.5,17.4,51.5,16.69,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,22.35,24.88,23.79,121.1198381,12987.01,Extant
5724,Basileuterus basilicus,Parulidae,Passeriformes,2,0,2,0,2,14.9,8.4,3.8,4,22.7,65,11.3,53.7,17.4,67,16.2,Updated_live.sample,Live sample (museum data),NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,10.5,11.17,10.84,-73.67111408,691.06,Extant
5729,Basileuterus cinereicollis,Parulidae,Passeriformes,2,1,0,1,2,16.3,8.2,4.5,4.2,21.5,62.5,11.4,51.2,18.2,54,17.2,Updated_live.sample,Live sample (museum data),NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,4.25,10.73,7.38,-72.55923667,36284.92,Extant
5737,Basileuterus ignotus,Parulidae,Passeriformes,2,1,1,0,2,12.8,7.3,3.9,3.8,20.5,55,7,48,12.6,58.5,10.89,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,7.77,8.25,8.06,-77.36869767,180.74,Extant
5785,Geothlypis chiriquensis,Parulidae,Passeriformes,1,0,0,1,1,16,8.5,3,3.8,22.2,56,7.1,48.9,12.7,53,13.8,EltonTraits_Model,NA,NO,NA,NA,Shrubland,1,1,Carnivore,Invertivore,Insessorial,8.65,9.02,8.8,-82.71532295,1382.25,Extant
5786,Geothlypis flavovelata,Parulidae,Passeriformes,2,1,1,0,2,15.4,9.5,3,3.4,20.2,54,9.6,44.5,17.6,51.5,10.9,Dunning,NA,NO,NA,NA,Wetland,2,1,Carnivore,Invertivore,Insessorial,20.45,24.11,22.35,-98.34128733,51944.85,Extant
5800,Myioborus albifacies,Parulidae,Passeriformes,2,0,1,1,2,11.7,7.8,4.1,4,19.4,63,10.6,52.4,16.8,63.8,15,Updated_live.sample,Live sample (museum data),NO,NA,NA,NA,1,1,Carnivore,Invertivore,Insessorial,4.95,6.17,5.53,-66.67318145,17030.05,Extant
5861,Passer hemileucus,Passeridae,Passeriformes,2,1,1,0,2,14.4,10.2,5.4,7.4,17,69.5,12.5,57,17.9,55.5,30.16,Dunning,NA,NO,NA,NA,NA,2,1,Herbivore,Granivore,Terrestrial,12.16,12.25,12.2,52.22968725,131.54,Extant
5909,Microeca hemixantha,Petroicidae,Passeriformes,2,1,1,0,2,12.4,7.6,4.6,3.5,13.6,73.5,17.1,56.4,23.4,50.5,13.65,EltonTraits_GenAvg,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.01,-7.1,-7.54,131.4134326,2954.97,Extant
5918,Petroica archboldi,Petroicidae,Passeriformes,2,1,1,0,2,13,7,3,3.6,21.4,93,18.4,74.6,19.8,65.5,12.22,EltonTraits_GenAvg,NA,NO,NA,NA,Shrubland,3,1,Carnivore,Invertivore,Insessorial,-4.46,-3.9,-4.17,137.9976776,2698.63,Extant
5938,Neodrepanis hypoxantha,Philepittidae,Passeriformes,2,1,1,0,2,21.9,17.7,3.4,3.9,15.3,47.5,9.9,37.5,21.1,27,7.1,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Nectarivore,Insessorial,-24.87,-13.54,-17.36,48.34713916,13059.51,Extant
5943,Antilophia bokermanni,Pipridae,Passeriformes,2,1,1,0,0,11.9,6.8,4,5.2,17.9,75.4,7.3,68.1,9.8,63.2,19.8,Dunning,NA,YES,Beak Nares; Beak Width,Antilophia galeata,Woodland,2,1,Herbivore,Frugivore,Insessorial,-7.45,-7.22,-7.35,-39.34197667,24.23,Extant
5952,Corapipo leucorrhoa,Pipridae,Passeriformes,1,0,1,0,0,10.2,5.6,3.2,3.5,14.9,58,11,47.3,18.8,35,11.65,Dunning,NA,YES,Beak Length; Kipp's Distance; Secondary1; Hand-Wing Index,Corapipo altera,Forest,1,1,Herbivore,Frugivore,Insessorial,5.51,11.22,7.68,-73.71325942,89572.4,Extant
